"wd.item","tapor.id","ssh.id","wd.tadirahid","tadirah.id"
"Q7535274","1411","nuPiBo","Q123750937","enriching"
"Q7535274","1411","nuPiBo","Q857525","annotating"
"Q40984","1294","zynYXp","Q1145523","collaborating"
"Q40984","1294","zynYXp","Q11024","communicating"
"Q40984","1294","zynYXp","Q123819226","disseminating"
"Q40984","1294","zynYXp","Q459221","sharing"
"Q17130715","854","A3MkoH","Q11024","communicating"
"Q1426432","1175","bIYU0I","Q3972943","publishing"
"Q1426432","1175","bIYU0I","Q11024","communicating"
"Q1426432","1175","bIYU0I","Q123819226","disseminating"
"Q1426432","1175","bIYU0I","Q459221","sharing"
"Q7543896","1347","phiboL","Q123819225","capturing"
"Q7543896","1347","phiboL","Q123783455","dataRecognition"
"Q1776235","873","J3NYzp","Q123819225","capturing"
"Q1776235","873","J3NYzp","Q1145523","collaborating"
"Q1776235","873","J3NYzp","Q11024","communicating"
"Q1776235","873","J3NYzp","Q123819226","disseminating"
"Q1776235","873","J3NYzp","Q459221","sharing"
"Q1776235","873","J3NYzp","Q13557414","recording"
"Q7547379","1197","MDRRLD","Q123819225","capturing"
"Q7547379","1197","MDRRLD","Q13557414","recording"
"Q7547379","1197","MDRRLD","Q1365447","screencast"
"Q522041","483","fDqoS6","Q80006","programming"
"Q522041","483","fDqoS6","Q123819227","creating"
"Q53949192","1138","34pYcH","Q1145523","collaborating"
"Q53949192","1138","34pYcH","Q3972943","publishing"
"Q53949192","1138","34pYcH","Q123783460","commenting"
"Q53949192","1138","34pYcH","Q11024","communicating"
"Q53949192","1138","34pYcH","Q123819226","disseminating"
"Q28406945","1603","nfEQYA","Q4417999","networkAnalysis"
"Q28406945","1603","nfEQYA","Q6504956","dataVisualization"
"Q28406945","1603","nfEQYA","Q217602","analyzing"
"Q28406945","1603","nfEQYA","Q95832426","visualAnalysis"
"Q28406945","1603","nfEQYA","Q653137","contentAnalysis"
"Q28406945","1603","nfEQYA","Q123750937","enriching"
"Q28406945","1603","nfEQYA","Q857525","annotating"
"Q1632657","1001","8b4qz1","Q459221","sharing"
"Q1632657","1001","8b4qz1","Q123819222","storing"
"Q7392587","491","YZzjy2","Q217602","analyzing"
"Q7392587","491","YZzjy2","Q857525","annotating"
"Q258956","373","zFu5bU","Q6504956","dataVisualization"
"Q258956","373","zFu5bU","Q217602","analyzing"
"Q258956","373","zFu5bU","Q95832426","visualAnalysis"
"Q215819","1211","y1ojDl","Q10418049","archiving"
"Q215819","1211","y1ojDl","Q36993249","organizing"
"Q215819","1211","y1ojDl","Q123819222","storing"
"Q215819","1211","y1ojDl","Q3265221","identifying"
"Q39052740","1476","MQnyM6","Q217602","analyzing"
"Q4355905","1491","Wg8i9b","Q123819227","creating"
"Q4355905","1491","Wg8i9b","Q93184","drawing"
"Q162852","1300","D5sHvO","Q1145523","collaborating"
"Q162852","1300","D5sHvO","Q123819226","disseminating"
"Q25455344","693","BxLcu1","Q123751128","gathering"
"Q7673435","378","4fZFd5","Q6504956","dataVisualization"
"Q7673435","378","4fZFd5","Q217602","analyzing"
"Q7673435","378","4fZFd5","Q95832426","visualAnalysis"
"Q7673435","378","4fZFd5","Q3972943","publishing"
"Q22909287","1529","M9y1SZ","Q1145523","collaborating"
"Q22909287","1529","M9y1SZ","Q36993249","organizing"
"Q945242","962","lhaMad","Q1783551","converting"
